2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
94   NIFTY BANK.NSE_IDX  03/01/2024  10:39:59  47655.40  47664.50  47642.85  47645.30       0              0 2024-03-01 10:39:59  47653.675   21.65  29.570         47742.385         47564.965
95   NIFTY BANK.NSE_IDX  03/01/2024  10:40:59  47643.60  47643.60  47610.90  47610.90       0              0 2024-03-01 10:40:59  47627.250   34.40  30.085         47717.505         47536.995
96   NIFTY BANK.NSE_IDX  03/01/2024  10:41:59  47610.45  47644.15  47607.55  47637.00       0              0 2024-03-01 10:41:59  47625.850   36.60  29.855         47715.415         47536.285
97   NIFTY BANK.NSE_IDX  03/01/2024  10:42:59  47638.30  47648.70  47628.40  47643.80       0              0 2024-03-01 10:42:59  47638.550   20.30  29.135         47725.955         47551.145
98   NIFTY BANK.NSE_IDX  03/01/2024  10:43:59  47638.30  47641.45  47629.90  47630.05       0              0 2024-03-01 10:43:59  47635.675   13.90  27.690         47718.745         47552.605
99   NIFTY BANK.NSE_IDX  03/01/2024  10:44:59  47633.45  47643.80  47625.10  47639.00       0              0 2024-03-01 10:44:59  47634.450   18.70  26.875         47715.075         47553.825
100  NIFTY BANK.NSE_IDX  03/01/2024  10:45:59  47637.75  47651.85  47630.65  47644.75       0              0 2024-03-01 10:45:59  47641.250   21.20  26.425         47720.525         47561.975
101  NIFTY BANK.NSE_IDX  03/01/2024  10:46:59  47645.15  47647.10  47629.05  47630.95       0              0 2024-03-01 10:46:59  47638.075   18.05  23.560         47708.755         47567.395
102  NIFTY BANK.NSE_IDX  03/01/2024  10:47:59  47632.50  47647.25  47632.50  47645.75       0              0 2024-03-01 10:47:59  47639.875   16.30  22.465         47707.270         47572.480
103  NIFTY BANK.NSE_IDX  03/01/2024  10:48:59  47645.95  47649.35  47636.40  47649.35       0              0 2024-03-01 10:48:59  47642.875   12.95  21.405         47707.090         47578.660
104  NIFTY BANK.NSE_IDX  03/01/2024  10:49:59  47652.60  47652.60  47630.00  47630.20       0              0 2024-03-01 10:49:59  47641.300   22.60  21.500         47705.800         47576.800
105  NIFTY BANK.NSE_IDX  03/01/2024  10:50:59  47629.25  47641.15  47629.25  47633.20       0              0 2024-03-01 10:50:59  47635.200   11.90  19.250         47692.950         47577.450
106  NIFTY BANK.NSE_IDX  03/01/2024  10:51:59  47634.45  47636.95  47624.15  47626.30       0              0 2024-03-01 10:51:59  47630.550   12.80  16.870         47681.160         47579.940
107  NIFTY BANK.NSE_IDX  03/01/2024  10:52:59  47625.70  47631.50  47607.85  47610.00       0              0 2024-03-01 10:52:59  47619.675   23.65  17.205         47671.290         47568.060
108  NIFTY BANK.NSE_IDX  03/01/2024  10:53:59  47612.05  47633.45  47609.70  47633.45       0              0 2024-03-01 10:53:59  47621.575   23.75  18.190         47676.145         47567.005
